    ,                                                                            BUG REPORT ( Villa & Vines )                                                                                                                                                          ,,,,,,,,,,,,,
Date Raised,Bug_ID,Test Module,Description/ Bug Summary,Steps,Expected Result,Status,Severity ( Critical/Major/Medium/Low ),Priority (P1/P2/P3/P4),Date Closed,Test Excecuted By ,"Screenshot
Refer_Villas&Vines",Comment,Developer status,Developer comment
8/14/2024,Bug_001,Header Section,Alignment of Menu are not proper,"1) Open Website
",Please make sure alignment is proper with spacing between menu,Fail,Critical,P1,,Arsheen,Refer Pt 1,,,
8/14/2024,Bug_002,Header Section,"he menu in the header section is not fixed 
and moves when scrolling.","1) Open Website
","The menu should stay fixed at the top
 of the page and remain visible while 
scrolling.",Fail,Critical,P1,,Arsheen,,,,
8/14/2024,Bug_003,Home Screen,Safari Villa's Dropdown is overlapping other menus,1) Open the link,"The dropdown should be visible with 
highlighted column.",Fail,Medium,P2,,Arsheen,Refer Pt 2,,,
8/14/2024,Bug_004,Homescreen,"Logo of ""Hawker's Bay Trail"" is misplaced ","1) Open the link
2) Scroll down ",It should be placed at given place ,Fail,Low,P4,,Arsheen,Refer Pt 3,,,
8/14/2024,Bug_005,Homescreen,"Link ""www.hbtrails.nz"" is not clickable","1) Open the link
2) Scroll down ","Link should redirect to ""Hawker's 
Bay Trail"" Page.",Fail,Low,P4,,Arsheen,Refer Pt 4,,,
8/14/2024,Bug_006,Homescreen,"Link ""LEARN MORE ABOUT SAVY VILLA"" is aligned 
over OUR SAFARI TALENT VILLAS description","1) Open the link
2) Scroll down ",It should be aligned properly,Fail,Low,P4,,Arsheen,Refer Pt 5,,,
8/14/2024,Bug_007,"Maxim Wines - 
Our Winemaker","Link ""Learn More"" is misplaced","1) Open the link
2) Click on Maxim Wines - 
Our Winemaker","Please align the link ""Learn More""
at right place",Fail,Low,P4,,Arsheen,Refer Pt 6,,,
8/14/2024,Bug_008,"Maxim Wines - 
Our Winemaker","The logo text displayed on the homepage is not
 proper. The font style is small.","1) Open the link
2) Click on Maxim Wines - 
Our Winemaker","The logo text should be displayed in the 
specified font.",Fail,Low,P4,,Arsheen,Refer Pt 7,,,
8/14/2024,Bug_009,"Maxim Wines - 
Our Winemaker","The gallery page displays fewer images
 than expected, resulting in large areas of
 empty space. This affects the visual appeal
of the page.","1) Open the link
2) Click on Maxim Wines - 
Our Winemaker","The layout should automatically 
arrange the images to fill the page, 
making it look balanced and nice.",Fail,Low,P4,,Arsheen,,,,
